,high_freq,low_freq,predict
0,0.000252557,0.59866178,0.598914337
1,-0.033002548,0.547384679,0.514382131
2,-0.0802597,0.595817685,0.515557985
3,-0.07327424,0.649017334,0.575743094
4,-0.027895433,0.475064129,0.447168695
5,-0.035457246,0.602018893,0.566561647
6,-0.061380931,0.607478499,0.546097568
7,-0.00732926,0.533546746,0.526217486
8,-0.016057281,0.525999367,0.509942086
9,0.034240426,0.573292732,0.607533158
10,-0.018502495,0.534267068,0.515764573
11,-0.018686303,0.545368195,0.526681891
12,0.001333769,0.496596277,0.497930046
13,0.001103108,0.538820326,0.539923435
14,0.002289048,0.554264367,0.556553415
15,0.033872551,0.609599352,0.643471903
16,0.049972426,0.572174072,0.622146498
17,0.043958632,0.752638102,0.796596734
18,0.063749938,0.604871273,0.668621211
19,0.073509843,0.585451543,0.658961386
20,0.071695529,0.66115737,0.732852898
21,0.073077705,0.651489854,0.724567559
22,0.072854382,0.600625277,0.673479658
23,0.032540402,0.648311913,0.680852315
24,0.027904756,0.636684299,0.664589055
25,0.012374454,0.614749789,0.627124243
26,-0.008160108,0.608757436,0.600597328
27,-0.028502534,0.590556681,0.562054147
28,-0.001116082,0.605370462,0.60425438
29,-0.012153756,0.501396894,0.489243139
30,0.030875924,0.742550611,0.773426535
31,0.043355551,0.624872804,0.668228355
32,0.09757468,0.599759281,0.69733396
33,0.1012625,0.660588205,0.761850705
34,0.12227428,0.684235811,0.806510091
35,0.122230406,0.644858181,0.767088588
36,0.11724933,0.705212593,0.822461923
37,0.125759149,0.678192675,0.803951824
38,0.071198972,0.695118725,0.766317697
39,0.009508239,0.633474171,0.64298241
40,0.029419828,0.660679758,0.690099586
41,0.05140315,0.638886988,0.690290138
42,0.073025098,0.712037802,0.785062899
43,0.189936399,0.674595058,0.864531457
44,0.105211498,0.704054594,0.809266092
45,0.194419066,0.748426557,0.942845623
46,0.195935211,0.720294297,0.916229507
47,0.174999869,0.667210281,0.84221015
48,0.300411546,0.78967905,1.090090597
49,0.182565013,0.712611258,0.895176271
50,0.13929074,0.780029237,0.919319977
51,0.154209386,0.744523466,0.898732851
52,0.147623124,0.764897645,0.912520768
53,0.159727592,0.758424461,0.918152053
54,0.155904056,0.780905008,0.936809064
55,0.149863916,0.77863574,0.928499656
56,0.149614197,0.743990064,0.89360426
57,0.179385534,0.724707484,0.904093019
58,0.189118117,0.714111447,0.903229565
59,0.191378093,0.785826981,0.977205074
60,0.091108006,0.760813415,0.851921421
61,0.071307419,0.677917063,0.749224482
62,0.004124324,0.764520049,0.768644373
63,0.139300531,0.844826102,0.984126633
64,0.138467327,0.86084342,0.999310747
65,0.132558671,0.875600457,1.008159129
66,0.129925667,0.841380656,0.971306323
67,0.083601884,0.878518105,0.962119989
68,0.066356132,0.841236413,0.907592545
69,0.067873913,0.773166895,0.841040808
70,0.055982727,0.816437781,0.872420508
71,0.033238662,0.789542615,0.822781278
72,0.080920527,0.8009727,0.881893227
73,0.090789068,0.791439593,0.882228661
