high_freq,low_freq,predict,label
0.107611194,0.774656653,0.882267847,0.81
0.023720043,0.89021039,0.913930433,0.82
0.110535032,0.827538192,0.938073224,0.81
0.031347435,0.751214921,0.782562357,0.78
0.019568788,0.760194361,0.779763149,0.75
0.052454331,0.826200426,0.878654757,0.67
0.007833611,0.713810265,0.721643876,0.67
-0.158302567,0.802194715,0.643892147,0.67
-0.153855495,0.803759456,0.649903961,0.69
-0.158475635,0.690362453,0.531886818,0.68
-0.144754644,0.70704335,0.562288705,0.66
-0.14109175,0.78594774,0.64485599,0.65
-0.163286699,0.717890859,0.554604159,0.68
-0.17525963,0.681745648,0.506486018,0.69
-0.147055761,0.680442989,0.533387228,0.65
-0.139187882,0.656027913,0.516840031,0.65
-0.014695619,0.694277942,0.679582323,0.66
-0.184730585,0.678305089,0.493574505,0.66
-0.004630188,0.716744781,0.712114593,0.66
-0.012365319,0.689447165,0.677081845,0.68
0.015525433,0.680338621,0.695864054,0.65
-0.025057133,0.720575571,0.695518438,0.66
-0.052653987,0.609384,0.556730013,0.67
0.061656157,0.672643483,0.734299639,0.67
0.077020038,0.60086149,0.677881528,0.69
0.08226162,0.689315736,0.771577356,0.66
0.030945362,0.700991511,0.731936873,0.65
-0.014432226,0.561487019,0.547054793,0.63
-0.028685313,0.659042478,0.630357165,0.64
-0.051494147,0.649874508,0.598380361,0.61
-0.04421845,0.664935768,0.620717317,0.58
-0.069654438,0.653275371,0.583620933,0.6
-0.10186318,0.647722423,0.545859243,0.61
-0.104483656,0.635534942,0.531051287,0.59
-0.095405835,0.636035085,0.54062925,0.59
-0.098831935,0.6238392,0.525007265,0.59
-0.018071314,0.682405949,0.664334635,0.58
0.012932959,0.616917849,0.629850807,0.58
0.008081775,0.653176665,0.66125844,0.58
0.005700066,0.576140046,0.581840112,0.59
0.014089031,0.554601014,0.568690045,0.58
0.034968806,0.570959926,0.605928731,0.59
0.029148666,0.599671662,0.628820327,0.59
0.033485735,0.608362615,0.64184835,0.6
0.055704718,0.601792872,0.65749759,0.59
0.059521702,0.58324182,0.642763522,0.61
0.072429832,0.614036679,0.686466511,0.61
0.098477323,0.655397534,0.753874858,0.62
0.103737476,0.643447936,0.747185411,0.62
0.119631384,0.613327384,0.732958768,0.61
0.096071527,0.539638519,0.635710046,0.63
0.123166019,0.602052748,0.725218768,0.61
0.149170576,0.649980068,0.799150644,0.6
-0.012706183,0.524230182,0.511523999,0.63
-0.026229406,0.649497569,0.623268163,0.59
0.001597901,0.57496196,0.576559861,0.59
-0.046946817,0.656319141,0.609372325,0.58
-0.043613407,0.533358574,0.489745167,0.59
-0.061709886,0.531549633,0.469839746,0.6
-0.055526412,0.605627239,0.550100827,0.57
-0.048996614,0.568663538,0.519666924,0.57
-0.083616253,0.628017485,0.544401232,0.57
-0.008669533,0.608926356,0.600256823,0.61
-0.008348824,0.598266661,0.589917837,0.65
0.035419615,0.632320821,0.667740437,0.63
0.078689269,0.589640498,0.668329767,0.61
-0.039400037,0.655004859,0.615604822,0.61
-0.062946046,0.630882561,0.567936516,0.62
-0.066475337,0.603333831,0.536858494,0.62
0.0622539,0.595872223,0.658126124,0.65
0.065483214,0.738850296,0.804333509,0.63
0.098740817,0.619220078,0.717960895,0.62
0.081041357,0.634267271,0.715308627,0.61
-0.017483294,0.605159342,0.587676048,0.6
-0.027062811,0.557616472,0.530553662,0.58
-0.039772822,0.666285098,0.626512276,0.59
-0.064894514,0.606370807,0.541476293,0.6
-0.055454983,0.603523672,0.548068689,0.6
-0.048953769,0.642214656,0.593260887,0.6
-0.02271546,0.573157549,0.550442088,0.6
-0.044873814,0.638518214,0.5936444,0.62
